"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-12","  100","  100",,," 0048","3.40","    0","0.0","0.0",,"64","57","    0","  300",,,"  315",,"16.1",,,"32.2","    1",,"    1",,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-13","  100","  100",,," 0530","1.61","    0","0.0","0.0",,"60","41","    0","   90",,,"   90",,"28.0",,,"43.6","    1",,"    1",,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-14","   60","   80",,," 1542","0.01","   33","0.0","0.0",,"60","40","  258","  260",,,"  270",,"19.9",,,"28.9","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-15","    0","    0",,," 1248","0.00","  100","0.0","0.0",,"68","36","  780","  260",,,"  270",,"17.0",,,"25.3",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-16","   30","   30",,," 1530","0.00","   90","0.0","0.0",,"78","39","  702","  240",,,"  225",,"8.9",,,"15.0",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-17","   50","   60",,," 1154","0.00","   41","0.0","0.0",,"74","49","  324","  330",,,"  225",,"8.9",,,"16.1",,,,,,,,"    1",,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-18","   80","   90",,," 1830","0.76","   22","0.0","0.0",,"72","52","  174","   80",,,"   45",,"14.1",,,"21.9",,,"    1",,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-19","   20","   30",,," 1506","0.00","   85","0.0","0.0",,"76","47","  666","   40",,,"  360",,"8.9",,,"16.1","    1","    1",,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-20","    0","    0",,," 1212","0.00","   93","0.0","0.0",,"81","49","  732","   60",,,"  360",,"10.1",,,"18.3","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-21","    0","   10",,," 1612","0.00","   99","0.0","0.0",,"84","48","  780","  320",,,"  315",,"14.1",,,"21.9","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-22","    0","    0",,," 1248","0.00","   96","0.0","0.0",,"88","53","  756","   50",,,"  315",,"8.9",,,"16.1","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-23","   40","   40",,," 1524","0.00","   91","0.0","0.0",,"84","58","  720","  250",,,"  270",,"13.0",,,"18.3",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-24","   40","   60",,," 1224","0.00","   61","0.0","0.0",,"81","55","  486","  250",,,"  270",,"13.0",,,"23.0",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-25","   80","  100",,," 2006","2.74","   11","0.0","0.0",,"78","58","   90","   80",,,"   45",,"21.9",,,"36.7","    1",,"    1",,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-26","   80","   70",,," 1224","0.00","   42","0.0","0.0",,"75","56","  336","  310",,,"  270",,"12.1",,,"23.0","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-27","   80","  100",,," 1500","0.00","    9","0.0","0.0",,"64","49","   72","  300",,,"  270",,"10.1",,,"19.5","    1",,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-28","   20","   30",,," 1442","0.00","   70","0.0","0.0",,"72","45","  564","  280",,,"  270",,"14.1",,,"23.0","    1",,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-29","    0","    0",,," 1500","0.00","  100","0.0","0.0",,"79","53","  804","  260",,,"  270",,"14.1",,,"19.5",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-30","   80","  100",,," 0812","0.09","   19","0.0","0.0",,"77","54","  150","  260",,,"  270",,"12.1",,,"19.5",,,,,,,,,,,,,,"    1",,,,,,
